PROPERTY_CITY,PROPERTY_STATE,PAID_LISTING_COUNT,PAID_LIVE_LISTING_COUNT,PAID_LIVE_NOT_HIDDEN_LISTING_COUNT
Port Orchard,Washington,144,65,60
Citrus Heights,California,144,45,43
Fremont,California,143,42,37
Clermont,Florida,143,66,64
Redlands,California,143,64,59
Rocklin,California,143,48,45
Northridge,California,142,63,56
Newport News,Virginia,142,69,62
Los Gatos,California,142,43,39
Soldotna,Alaska,141,70,67
Grand Prairie,Texas,141,49,43
Buckeye,Arizona,141,65,62
Kaneohe,Hawaii,141,53,44
Key West,Florida,141,70,61
Concord,North Carolina,141,64,62
North Fort Myers,Florida,141,66,65
San Bernardino,California,141,51,50
Corvallis,Oregon,140,80,69
Albany,Oregon,140,83,77
Overland Park,Kansas,139,69,62
Jupiter,Florida,139,53,52
Somerville,Massachusetts,139,73,56
Palm Beach Gardens,Florida,138,60,56
Spartanburg,South Carolina,138,70,67
Grover Beach,California,137,60,56
Coos Bay,Oregon,137,76,73
Cottonwood,Arizona,137,66,63
Dana Point,California,136,65,63
South Burlington,Vermont,136,70,62
Lakewood,Washington,136,53,43
Jackson,Mississippi,136,71,68
Nipomo,California,135,62,54
Fayetteville,Georgia,135,55,45
Seminole,Florida,135,58,50
Milwaukie,Oregon,135,58,54
Edmonds,Washington,135,56,47
Queen Creek,Arizona,135,54,50
Miramar,Florida,135,41,39
Tracy,California,134,39,37
Lansing,Michigan,133,77,75
Falmouth,Massachusetts,133,58,55
Jamaica,New York,133,31,30
Cumming,Georgia,133,66,62
Whitefish,Montana,133,58,54
Ewa Beach,Hawaii,133,57,52
Kingman,Arizona,132,69,64
Cambridge,Massachusetts,132,59,45
Rutland,Vermont,132,72,66
Turlock,California,132,49,49
Auburn,California,132,45,43
Pismo Beach,California,132,49,43
Lynnwood,Washington,132,61,57
Stockbridge,Georgia,131,40,39
San Angelo,Texas,130,77,72
Hillsboro,Oregon,130,59,54
Alpharetta,Georgia,130,46,45
Marina Del Rey,California,130,42,39
Marysville,Washington,130,65,61
Ontario,California,129,40,37
Fort Washington,Maryland,129,45,44
Park City,Utah,128,50,48
North Port,Florida,128,52,52
Pleasant Hill,California,128,45,44
Covington,Georgia,128,54,50
Culver City,California,127,46,42
Saint George,Utah,127,56,50
Laurel,Maryland,127,41,39
Windsor,California,126,38,33
Carson City,Nevada,126,50,48
Sonora,California,126,64,64
Hyattsville,Maryland,126,37,35
Rancho Cordova,California,126,35,33
West Sacramento,California,126,32,29
Jonesboro,Georgia,125,50,47
Ellsworth,Maine,125,66,58
Binghamton,New York,125,69,66
Sandy Springs,Georgia,125,46,45
Kennewick,Washington,125,64,58
Oregon City,Oregon,125,65,51
Santa Clarita,California,124,45,45
Royal Oak,Michigan,124,48,40
Colchester,Vermont,124,54,45
Evansville,Indiana,124,82,77
Pittsburg,California,123,33,32
Richland,Washington,123,73,62
Navarre,Florida,123,41,38
Sun City,Arizona,122,60,57
Frederick,Maryland,122,51,47
Edmond,Oklahoma,121,46,40
Ann Arbor,Michigan,121,44,43
Gulfport,Florida,121,76,67
Richardson,Texas,121,33,33
Palmer,Alaska,121,42,36
Fairburn,Georgia,121,32,28
Rock Hill,South Carolina,120,61,58
Mashpee,Massachusetts,120,49,45
Watsonville,California,120,45,41
Sebastian,Florida,120,58,53
Hilton Head Island,South Carolina,120,55,49
Spring Hill,Florida,120,40,39
Rockville,Maryland,120,43,35
Brentwood,California,119,34,31
Rockford,Illinois,119,58,56
Lebanon,New Hampshire,119,73,66
Roswell,New Mexico,119,54,49
Lakewood,California,119,58,55
Casa Grande,Arizona,118,70,66
Barre,Vermont,118,65,58
Carson,California,118,57,56
Fullerton,California,118,57,51
Post Falls,Idaho,118,37,30
Sedona,Arizona,118,53,48
Pembroke Pines,Florida,118,45,44
Taos,New Mexico,118,58,53
Killeen,Texas,118,46,45
Covington,Kentucky,118,55,50
Arcata,California,118,47,42
Sequim,Washington,117,47,42
Falls Church,Virginia,117,42,39
Denton,Texas,117,56,55
Pittsfield,Massachusetts,116,71,67
Brookline,Massachusetts,116,54,50
Seaside,California,116,56,48
Bella Vista,Arkansas,116,49,46
Hot Springs,Arkansas,116,61,55
Branson,Missouri,116,37,36
Gulf Breeze,Florida,116,43,40
Brandon,Florida,115,46,43
Englewood,Florida,115,54,51
Wesley Chapel,Florida,115,42,42
Gardena,California,114,56,49
Steamboat Springs,Colorado,114,61,55
Mount Vernon,Washington,114,59,54
Fountain Hills,Arizona,114,47,43
Saco,Maine,114,46,43
Candler,North Carolina,114,50,46
Palm Harbor,Florida,114,58,52
Murrells Inlet,South Carolina,113,47,43
Simi Valley,California,113,33,32
San Tan Valley,Arizona,113,50,48
Healdsburg,California,113,46,42
Hollywood,California,113,35,30
Marquette,Michigan,113,59,53
Humble,Texas,113,41,39
Fair Oaks,California,113,21,19
Spring Valley,California,112,31,28
Hawthorne,California,112,48,45
Acworth,Georgia,112,53,49
Jacksonville,Oregon,112,45,40
Rohnert Park,California,112,34,31
Bothell,Washington,112,44,41
Crescent City,California,111,68,63
Apopka,Florida,111,38,36
Columbia Falls,Montana,111,46,44
Santa Rosa Beach,Florida,111,39,34
Pinehurst,North Carolina,110,60,56
Gaithersburg,Maryland,109,43,40
South San Francisco,California,109,46,44
Juneau,Alaska,109,58,50
Gilroy,California,109,35,34
Ellenwood,Georgia,109,36,32
Kingsport,Tennessee,109,60,57
Nevada City,California,109,29,28
Mooresville,North Carolina,109,40,34
Avondale,Arizona,109,44,42
Brattleboro,Vermont,109,50,47
Tarpon Springs,Florida,109,46,44
Lafayette,Colorado,108,35,33
Hamden,Connecticut,108,40,35
Stamford,Connecticut,108,47,43
Champaign,Illinois,108,64,60
Jensen Beach,Florida,108,51,46
Danville,California,108,31,29
Yucca Valley,California,108,42,40
Nokomis,Florida,108,47,45
Glenwood Springs,Colorado,108,50,48
Lake Stevens,Washington,107,55,47
Astoria,Oregon,107,69,65
Wellington,Florida,107,46,46
Roseburg,Oregon,107,68,64
Muskegon,Michigan,107,49,45
Gulfport,Mississippi,107,51,49
Greer,South Carolina,107,43,40
Fort Mill,South Carolina,107,38,35
Redmond,Washington,107,47,42
Wausau,Wisconsin,106,74,71
Cottonwood Heights,Utah,106,49,45
Brunswick,Georgia,106,62,61
Cypress,Texas,106,30,27
Valdosta,Georgia,106,41,39
Issaquah,Washington,106,40,32
Carmichael,California,106,34,33
Racine,Wisconsin,106,55,53
Ocean City,Maryland,106,31,29
Plattsburgh,New York,106,69,62
Goleta,California,105,45,39
Menlo Park,California,105,45,40
Deerfield Beach,Florida,105,34,34
Mill Valley,California,105,34,29
Campbell,California,105,46,40
Kapolei,Hawaii,105,49,43
Saint Charles,Missouri,105,53,46
Williamsburg,Virginia,104,50,50
Capitola,California,104,43,37
Cape Girardeau,Missouri,104,69,64
Gallup,New Mexico,104,47,44
Morgan Hill,California,104,28,28
Apple Valley,California,103,38,36
Haleiwa,Hawaii,103,55,46
Branford,Connecticut,102,39,35
Winchester,Virginia,102,57,54
Anacortes,Washington,102,50,41
Brockton,Massachusetts,102,39,32
Eau Claire,Wisconsin,102,58,45
Sanford,Florida,102,35,31
Lompoc,California,102,54,51
South Jordan,Utah,102,40,36
Commerce City,Colorado,102,33,26
Mcallen,Texas,101,35,34
Laguna Beach,California,101,31,28
Canton,Georgia,101,36,32
Newport,Oregon,101,57,53
West Hills,California,101,39,38
Benicia,California,100,28,26
Yonkers,New York,100,36,32
Des Moines,Washington,100,46,44
Mableton,Georgia,100,33,31
Bentonville,Arkansas,100,43,42
Portsmouth,New Hampshire,100,39,32
York,Pennsylvania,100,51,45
Tucker,Georgia,100,38,34
Lacey,Washington,99,55,44
Laguna Niguel,California,99,33,31
Show Low,Arizona,99,44,44
Midlothian,Virginia,99,37,36
Morro Bay,California,99,46,42
Tuscaloosa,Alabama,99,49,49
Roswell,Georgia,99,38,34
Saint Cloud,Florida,99,35,33
Medford,Massachusetts,98,39,35
Gresham,Oregon,98,40,38
Cocoa Beach,Florida,98,53,51
Litchfield Park,Arizona,98,54,46
Midland,Texas,98,51,47
Buford,Georgia,98,52,49
Lakeport,California,98,42,41
West Hartford,Connecticut,98,50,46
North Augusta,South Carolina,97,37,33
Westbrook,Maine,97,45,36
Concord,New Hampshire,97,46,42
Simpsonville,South Carolina,97,42,39
Cape Canaveral,Florida,97,42,39
Jacksonville,North Carolina,97,46,44
Stafford,Virginia,96,40,37
Weaverville,North Carolina,96,46,40
Ketchikan,Alaska,96,47,45
Westminster,California,96,28,20
The Woodlands,Texas,96,25,23
Norman,Oklahoma,96,40,34
Truckee,California,96,36,32
Hermosa Beach,California,96,29,25
Port Orange,Florida,95,39,35
Rockland,Maine,95,38,35
Bowling Green,Kentucky,95,55,54
Hickory,North Carolina,95,54,49
Johns Island,South Carolina,95,38,32
Montgomery,Texas,95,44,37
Gastonia,North Carolina,94,46,45
Gold Beach,Oregon,94,45,41
Nashua,New Hampshire,94,52,49
Belgrade,Montana,94,34,31
Captain Cook,Hawaii,94,38,34
Newark,Delaware,94,48,46
Augusta,Maine,94,54,48
Tarzana,California,94,38,33
Altamonte Springs,Florida,94,27,26
Seaside Heights,New Jersey,93,27,21
Harrisonburg,Virginia,93,39,38
Waianae,Hawaii,93,44,42
Fountain Valley,California,93,39,36
Kennesaw,Georgia,93,36,32
College Park,Georgia,93,34,30
Lincoln City,Oregon,93,54,53
Lakewood,Ohio,93,46,46
Fort Bragg,California,92,43,38
Cave Creek,Arizona,92,42,40
West Columbia,South Carolina,92,48,47
Anderson,South Carolina,92,48,46
Arden,North Carolina,92,37,34
Lexington,South Carolina,92,42,36
Reseda,California,92,35,32
Jamaica Plain,Massachusetts,92,36,35
Lehigh Acres,Florida,91,29,28
Richmond,Texas,91,29,29
West Allis,Wisconsin,91,57,56
Malden,Massachusetts,91,40,36
Osage Beach,Missouri,91,43,41
Marshfield,Wisconsin,91,57,56
East Falmouth,Massachusetts,91,40,37
Leander,Texas,91,36,32
Lynn,Massachusetts,91,26,24
Mission Viejo,California,91,37,34
Newnan,Georgia,90,39,34
Saint Albans,Vermont,90,50,40
Manassas,Virginia,90,37,36
San Bruno,California,90,32,29
Woodstock,Georgia,90,28,26
Oshkosh,Wisconsin,89,45,43
Aiken,South Carolina,89,42,39
Sausalito,California,89,32,28
Palmetto,Florida,89,40,38
New Bedford,Massachusetts,89,46,41
Lehi,Utah,89,37,36
Happy Valley,Oregon,89,34,33
San Carlos,California,88,40,38
Los Osos,California,88,34,29
Huntersville,North Carolina,88,41,35
Milpitas,California,88,24,20
Schenectady,New York,88,39,36
Keene,New Hampshire,88,55,52
Central Point,Oregon,88,37,34
Dover,New Hampshire,88,43,37
Rogers,Arkansas,87,49,43
West Yarmouth,Massachusetts,87,37,34
University Place,Washington,87,32,31
Beverly Hills,California,87,23,23
Antioch,Tennessee,87,31,27
Oak Park,Illinois,86,41,39
Tigard,Oregon,86,44,40
North Little Rock,Arkansas,86,37,34
East Haven,Connecticut,86,33,31
Warwick,Rhode Island,86,34,30
Carrollton,Texas,86,37,35
Winchester,California,86,29,25
